POWO_ID,threat_prediction,full_name,GBIF_SuggestedKey,kin,phy,ord,fam,GBIF_SuggestedGen,GBIF_SuggestedSpe,GBIF_Suggestedauth,GBIF_SuggestedNameStatus,GBIF_AcceptedKey,Warning,TDWGCount,EcoregionCount,EOO,AOO,RecordCount,norm_forest_loss,norm_hfoot
111622-1,Insufficient Data,Erythrospermum sparsiflorum Baker,3879769,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baker,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
365606-1,Insufficient Data,Hydnocarpus alcalae C.DC.,3878336,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus alcalae,C.DC.,ACCEPTED,3878336,;No TDWG distribution data,,,,,,,
111739-1,Insufficient Data,Hydnocarpus alpina Wight,4930795,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus alpinus,Wight,ACCEPTED,4930795,;No TDWG distribution data,,,,,,,
365608-1,Insufficient Data,Hydnocarpus annamicus H.L.Li,3878312,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus annamicus,H.L.Li,ACCEPTED,3878312,;No TDWG distribution data,,,,,,,
365610-1,Insufficient Data,Hydnocarpus anthelminthica Pierre ex Gagnep.,3878299,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus anthelminthica,Pierre & Gagnep.,DOUBTFUL,3878299,GBIF matched name not treated as accepted;,,,,,,,
111740-1,Insufficient Data,Hydnocarpus anthelminthicus Pierre ex Laness.,3878293,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus castaneus,Pierre ex Laness.,SYNONYM,3878251,GBIF matched name not treated as accepted;No TDWG distribution data,,,,,,,
365611-1,Insufficient Data,Hydnocarpus beccarianus Sleumer,3878283,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus beccarianus,Sleumer,ACCEPTED,3878283,;No TDWG distribution data,,,,,,,
111741-1,Insufficient Data,Hydnocarpus castanea Hook.f. & Thomson,3878251,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus castaneus,Hook.f. & Thomson,ACCEPTED,3878251,;No TDWG distribution data,,,,,,,
365615-1,Insufficient Data,Hydnocarpus cauliflora Merr.,3878241,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus cauliflorus,Merr.,ACCEPTED,3878241,;No TDWG distribution data,,,,,,,
111742-1,Insufficient Data,Hydnocarpus corymbosa Seem.,3878229,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus corymbosa,Seem.,DOUBTFUL,3878229,GBIF matched name not treated as accepted;No TDWG distribution data,,,,,,,
