"accepted","full_name","base_url","POWO_ID","family"
"TRUE","Anisotes mayottensis T.F.Daniel","/taxon/urn:lsid:ipni.org:names:","77141129-1","Acanthaceae"
"TRUE","Anisotes nyassae Baden","/taxon/urn:lsid:ipni.org:names:","896898-1","Acanthaceae"
"TRUE","Anisotes parvifolius Oliv.","/taxon/urn:lsid:ipni.org:names:","45340-1","Acanthaceae"
"TRUE","Anisotes perplexus T.F.Daniel, Letsara & Martín-Bravo","/taxon/urn:lsid:ipni.org:names:","77137829-1","Acanthaceae"
"TRUE","Anisotes pubinervius (T.Anderson) Heine","/taxon/urn:lsid:ipni.org:names:","45341-1","Acanthaceae"
"TRUE","Anisotes rogersii S.Moore","/taxon/urn:lsid:ipni.org:names:","45342-1","Acanthaceae"
"TRUE","Anisotes sessiliflorus (T.Anderson) C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","45344-1","Acanthaceae"
"TRUE","Anisotes spectabilis (Mildbr.) Vollesen","/taxon/urn:lsid:ipni.org:names:","77109775-1","Acanthaceae"
"TRUE","Anisotes subcoriaceus T.F.Daniel, Letsara & Martín-Bravo","/taxon/urn:lsid:ipni.org:names:","77137830-1","Acanthaceae"
"TRUE","Anisotes tablensis T.F.Daniel","/taxon/urn:lsid:ipni.org:names:","77155347-1","Acanthaceae"
"TRUE","Anisotes tanensis Baden","/taxon/urn:lsid:ipni.org:names:","896899-1","Acanthaceae"
"TRUE","Anisotes tangensis Baden","/taxon/urn:lsid:ipni.org:names:","896900-1","Acanthaceae"
"TRUE","Anisotes trisulcus (Forssk.) Nees","/taxon/urn:lsid:ipni.org:names:","45345-1","Acanthaceae"
"TRUE","Anisotes ukambensis Lindau","/taxon/urn:lsid:ipni.org:names:","45347-1","Acanthaceae"
"TRUE","Anisotes umbrosus Milne-Redh.","/taxon/urn:lsid:ipni.org:names:","45348-1","Acanthaceae"
"TRUE","Anisotes venosus T.F.Daniel, Letsara & Martín-Bravo","/taxon/urn:lsid:ipni.org:names:","77137831-1","Acanthaceae"
"TRUE","Anisotes zenkeri (Lindau) C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","45350-1","Acanthaceae"
"TRUE","Anomacanthus congolanus (De Wild. & T.Durand) Brummitt","/taxon/urn:lsid:ipni.org:names:","948338-1","Acanthaceae"
"TRUE","Aphanosperma sinaloensis (Leonard & Gentry) T.F.Daniel","/taxon/urn:lsid:ipni.org:names:","1220271-2","Acanthaceae"
"TRUE","Aphelandra acanthifolia Hook.","/taxon/urn:lsid:ipni.org:names:","15966-2","Acanthaceae"
"TRUE","Aphelandra acanthus Nees","/taxon/urn:lsid:ipni.org:names:","45379-1","Acanthaceae"
"TRUE","Aphelandra acrensis Lindau","/taxon/urn:lsid:ipni.org:names:","15967-2","Acanthaceae"
"TRUE","Aphelandra albert-smithii Leonard","/taxon/urn:lsid:ipni.org:names:","15970-2","Acanthaceae"
"TRUE","Aphelandra albinotata Wassh.","/taxon/urn:lsid:ipni.org:names:","307145-2","Acanthaceae"
"TRUE","Aphelandra alexandri Leonard","/taxon/urn:lsid:ipni.org:names:","16122-2","Acanthaceae"
"TRUE","Aphelandra ameleta Leonard","/taxon/urn:lsid:ipni.org:names:","16123-2","Acanthaceae"
"TRUE","Aphelandra anderssonii Wassh.","/taxon/urn:lsid:ipni.org:names:","307138-2","Acanthaceae"
"TRUE","Aphelandra antioquiensis Wassh.","/taxon/urn:lsid:ipni.org:names:","938039-1","Acanthaceae"
"TRUE","Aphelandra arborea (Mill.) M.R.Almeida","/taxon/urn:lsid:ipni.org:names:","77108236-1","Acanthaceae"
"TRUE","Aphelandra arisema Leonard","/taxon/urn:lsid:ipni.org:names:","16128-2","Acanthaceae"
"TRUE","Aphelandra aristei Leonard","/taxon/urn:lsid:ipni.org:names:","16129-2","Acanthaceae"
"TRUE","Aphelandra arnoldii Mildbr.","/taxon/urn:lsid:ipni.org:names:","16130-2","Acanthaceae"
"TRUE","Aphelandra attenuata Wassh.","/taxon/urn:lsid:ipni.org:names:","16132-2","Acanthaceae"
"TRUE","Aphelandra aucayacuensis Wassh.","/taxon/urn:lsid:ipni.org:names:","77139521-1","Acanthaceae"
